id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
salat-vinegret-300-g-96749.html;Салат винегрет, 300 г;Готовая еда;75.1;1.3;3.5;9.6;;208.0;vkusvill;;без добавленного сахара, вкусоароматических усилителей и консервантов;https://vkusvill.ru/goods/salat-vinegret-300-g-96749.html;
omlet-kartofelnyy-po-ispanski-108136.html;"Омлет картофельный ""По-испански""";Готовая еда;147.0;;;;;218.0;vkusvill;;Состав                                                                                                                                                       Картофель свежий, меланж яичный жидкий пастеризованный, лук репчатый свежий, желток яичный жидкий пастеризованный, масло подсолнечное рафинированное дезодорированное, соль пищевая, сахар, чеснок сушеный гранулированный, перец белый молотый;https://vkusvill.ru/goods/omlet-kartofelnyy-po-ispanski-108136.html;
gotovaya-eda;Готовая еда;Готовая еда;;4.9;;;;200.0;vkusvill;;е салата нет лука;https://vkusvill.ru/goods/gotovaya-eda/?PAGEN_1=3;
pirogi-pirozhki-i-lepyeshki;Пироги, пирожки и лепёшки;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/pirogi-pirozhki-i-lepyeshki/?PAGEN_1=5;
salat-tsezar-s-krevetkami-111702.html;"Салат ""Цезарь"" с креветками";Готовая еда;172.1;;;;;468.0;vkusvill;;Состав                                                                                                                                                       томаты черри свежие, креветка белоногая очищенная отварная (креветка белоногая Litopenaeus vannamei (произведено из мороженого сырья, продукция аквакультуры), соус цезарь (масло подсолнечное рафинированное дезодорированное, меланж яичный сухой, соус соевый (вода питьевая, соевые бобы, соль пищевая, пшеничная мука), филе анчоусов в масле (филе анчоусов, масло подсолнечное рафинированное дезодорированное, соль пищевая), горчица столовая (вода питьевая, горчичный порошок, сахар, масло подсолнечное рафинированное дезодорированное, регулятор кислотности -уксусная кислота, соль пищевая, перец черный молотый, лавровый лист), сок лимона прямого отжима, сахар), салат романо свежий, салат айсберг свежий, гренки из пшеничного хлеба (хлеб пшеничный (мука пшеничная хлебопекарная высшего сорта, вода питьевая, соль пищевая, дрожжи хлебопекарные прессованные)), сыр пармезан молодой м;https://vkusvill.ru/goods/salat-tsezar-s-krevetkami-111702.html;
salat-mimoza-180-g-25291.html;"Салат ""Мимоза"", 180 г";Готовая еда;238.9;10.3;19.3;6.0;;226.0;vkusvill;;Состав                                                                                                                                                       ГЛОБАЛ ФУД ООО: майонез массовая доля жира 50% (масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, яичный желток, соль пищевая, крахмал картофельный, регулятор кислотности – уксусная кислота), яйцо отварное куриное пищевое, филе горбуши запеченное (филе горбуши (произведено из мороженого сырья), лавровый лист, перец душистый горошком, соль пищевая,  масло подсолнечное рафинированное дезодорированное), картофель отварной, морковь столовая отварная, сыр гауда массовая доля жира в сухом веществе 41% (молоко пастеризованное, бактериальная закваска мезофильных молочнокислых микроорганизмов, соль пищевая, уплотнитель – хлорид кальция);https://vkusvill.ru/goods/salat-mimoza-180-g-25291.html;
zapekanka-tvorozhnaya-bez-dob-sakhara-s-myagkim-syrom-rikotta-66716.html;"Запеканка творожная без доб. сахара с мягким сыром ""Рикотта""";Готовая еда;148.6;4.7;;;;198.0;vkusvill;;а сахар и добавили рикотту;https://vkusvill.ru/goods/zapekanka-tvorozhnaya-bez-dob-sakhara-s-myagkim-syrom-rikotta-66716.html;
sup-ukha-s-gorbushey-sudakom-paltusom-270-g-82086.html;"Суп ""Уха"" (с горбушей, судаком, палтусом), 270 г";Готовая еда;41.9;;;;;248.0;vkusvill;;Состав                                                                                                                                                       вода питьевая, картофель свежий, лук репчатый свежий, морковь столовая свежая, филе горбуши (произведено из мороженого сырья), филе судака обыкновенного (произведено из мороженого сырья), филе палтуса стрелозубого (произведено из мороженого сырья), масло подсолнечное рафинированное дезодорированное, петрушка свежая (зелень), укроп свежий (зелень), соль пищевая, чеснок свежий;https://vkusvill.ru/goods/sup-ukha-s-gorbushey-sudakom-paltusom-270-g-82086.html;
vtorye-blyuda;Вторые блюда;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/vtorye-blyuda/?page=2&PAGEN_1=15;
supy;Супы;Готовая еда;;;;;;200.0;vkusvill;;, но всё тот же насыщенный многогранный вкус — сливочно-пряный, в меру острый, с приятной кислинкой! Приготовили Том ям на кокосовом «молоке», с ароматными шампиньонами, рассыпчатым рисом Жасмин и традиционными яркими приправами: пастой карри и соусом унаги;https://vkusvill.ru/goods/gotovaya-eda/supy/?PAGEN_1=3;
zapekanka-tvorozhnaya-s-grushey-39477.html;Запеканка творожная с грушей;Готовая еда;140.9;4.9;2.5;19.4;;255.0;vkusvill;;Состав                                                                                                                                                       ПРО ВКУС ООО: творог м;https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-grushey-39477.html;
salat-s-rostbifom-kartofelem-bebi-i-kunzhutnym-sousom-110764.html;Салат с ростбифом, картофелем бэби и кунжутным соусом;Готовая еда;176.0;;;;;388.0;vkusvill;;Состав                                                                                                                                                       Картофель запеченный (картофель бэби свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, паприка молотая, перец чили молотый), соус (масло подсолнечное рафинированное дезодорированное, яблоки зеленые свежие, соус соевый (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), масло кунжутное нерафинированное, семена кунжута белые, чеснок свежий, уксус винный белый 6%), ростбиф (говядина, соевый соус (вода питьевая, соевые бобы, пшеница, соль пищевая, сахар), соль пищевая, перец черный молотый), огурцы маринованные (огурцы свежие, соль пищевая, сахар, регулятор кислотности – уксусная кислота ледяная, вода питьевая), томаты черри свежие, салат айсберг свежий, салат романо свежий, шпинат свежий, руккола свежая Продукция производится на предприятии, где используются аллергены: арахис, аспартам, горчица, диоксид серы (сульфиты), моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, яйца;https://vkusvill.ru/goods/salat-s-rostbifom-kartofelem-bebi-i-kunzhutnym-sousom-110764.html;
khumus-marokkanskiy-s-vyalenymi-tomatami-76892.html;"Хумус ""Марокканский"" с вялеными томатами";Готовая еда;254.0;;;;;218.0;vkusvill;;Состав                                                                                                                                                       Нут (горох турецкий), вода питьевая, кунжутная паста тахини (семена кунжута обжаренные тертые), масло подсолнечное рафинированное дезодорированное, томаты сушеные, смесь пряностей (кинза, петрушка, сельдерей, базилик, чабер садовый), соль пищевая , регулятор кислотности -лимонная кислота, загуститель-гуаровая камедь, чеснок сушеный;https://vkusvill.ru/goods/khumus-marokkanskiy-s-vyalenymi-tomatami-76892.html;
bliny-s-kartoshkoy;Блины с картошкой;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/bliny-s-kartoshkoy/;
pasta-fuzilli-s-frikadelkami-iz-kuritsy-i-syrnym-sousom-580-g-95044.html;Паста фузилли с фрикадельками из курицы и сырным соусом, 580 г;Готовая еда;121.8;;;;;440.0;vkusvill;;Состав                                                                                                                                                       макаронные изделия Фузилли отварные (вода питьевая, макаронные изделия из твёрдых сортов пшеницы Фузилли (мука из твердой пшеницы высшего сорта, вода питьевая), соль пищевая, масло подсолнечное рафинированное дезодорированное), соус сырный (вода питьевая, сыр плавленый пастообразный м;https://vkusvill.ru/goods/pasta-fuzilli-s-frikadelkami-iz-kuritsy-i-syrnym-sousom-580-g-95044.html;
