id;name;category;kcal_100g;protein_100g;fat_100g;carb_100g;portion_g;price;shop;tags;composition;url;photo
kurinyy-shnitsel-s-kartofelnym-pyure-345g-86487.html;Куриный шницель с картофельным пюре, 345г;Готовая еда;147.2;;;;;456.0;vkusvill;;Состав                                                                                                                                                       Картофельное пюре: картофель свежий, вода питьевая, масло сливочное 72;https://vkusvill.ru/goods/kurinyy-shnitsel-s-kartofelnym-pyure-345g-86487.html;
ruletiki-iz-baklazhanov-s-syrnoy-nachinkoy-57597.html;Рулетики из баклажанов с сырной начинкой;Готовая еда;317.9;;;;;228.0;vkusvill;;Состав                                                                                                                                                       Баклажан запеченный (баклажан свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая), сыр тильзитер м;https://vkusvill.ru/goods/ruletiki-iz-baklazhanov-s-syrnoy-nachinkoy-57597.html;
tarelka-zdorovogo-pitaniya;Тарелка здорового питания;Готовая еда;;61.0;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/tarelka-zdorovogo-pitaniya/?PAGEN_1=3;
sup-kurinyy-s-lapshoy-i-yaytsom-99857.html;Суп куриный с лапшой и яйцом;Готовая еда;43.6;;;;;206.0;vkusvill;;Состав                                                                                                                                                       Бульон куриный процеженный (мясо цыпленка бройлера, вода питьевая, лук репчатый, морковь столовая свежая, петрушка свежая (зелень), перец черный горошек, лавровый лист), яйцо куриное пищевое, лапша яичная (мука из твердых сортов пшеницы, вода питьевая, яичный меланж), филе куриной грудки (произведеноиз охлажденного сырья), соль пищевая;https://vkusvill.ru/goods/sup-kurinyy-s-lapshoy-i-yaytsom-99857.html;
onigiri;Онигири;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/onigiri/?PAGEN_1=2;
sendvichi-shaurma-i-burgery;Сэндвичи, шаурма и бургеры;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/sendvichi-shaurma-i-burgery/?page=2&PAGEN_1=2;
govyadina-tushenaya-s-lisichkami-i-pastoy-rizo-v-slivochno-gribnom-souse-101030.html;Говядина тушеная с лисичками и пастой Ризо в сливочно-грибном соусе;Готовая еда;213.7;;;;;388.0;vkusvill;;Состав                                                                                                                                                       Паста отварная (вода питьевая, макаронные изделия из твёрдых сортов пшеницы (мука из твёрдых сортов пшеницы, вода питьевая), масло подсолнечное рафинированное дезодорированное, соль пищевая), сливки питьевые м;https://vkusvill.ru/goods/govyadina-tushenaya-s-lisichkami-i-pastoy-rizo-v-slivochno-gribnom-souse-101030.html;
perets-farshirovannyy-s-myasom-kuritsy-114399.html;Перец фаршированный с мясом курицы;Готовая еда;105.0;;;;;298.0;vkusvill;;Состав                                                                                                                                                       перец фаршированный (перец сладкий свежий, лук репчатый свежий, мясо бедра курицы бескостное ( произведено из замороженного сырья), филе куриной грудки (произведено из замороженного сырья), крупа рисовая, морковь столовая свежая, вода питьевая, соль пищевая, чеснок сушенный, перец черный молотый, мускатный орех молотый), соус (вода питьевая, томаты в собственном соку (томаты свежие, томатный сок, регулятор кислотности - лимонная кислота), паста томатная, морковь столовая свежая, лук репчатый свежий, сахар, чеснок свежий, вода питьевая, масло подсолнечное рафинированное дезодорированное, крахмал кукурузный, перец черный молотый, соль пищевая) Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца;https://vkusvill.ru/goods/perets-farshirovannyy-s-myasom-kuritsy-114399.html;
yaytsa-kurinye-kopchenye-molodetskie-80003.html;"Яйца куриные копченые ""Молодецкие""";Готовая еда;150.9;;;;;205.0;vkusvill;;Состав                                                                                                                                                       яйца куриные пищевые обогащенные селеном «Молодецкие», соль йодированная (соль пищевая, йодат калия), сахар, куркума, чеснок сушеный, горчичный порошок                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Отзывы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    4;https://vkusvill.ru/goods/yaytsa-kurinye-kopchenye-molodetskie-80003.html;
vtorye-blyuda-s-myasom;Вторые блюда с мясом;Готовая еда;;;;;;200.0;vkusvill;;;https://vkusvill.ru/goods/gotovaya-eda/vtorye-blyuda/vtorye-blyuda-s-myasom/?PAGEN_1=4;
pasta-s-file-morskogo-grebeshka-100715.html;Паста с филе морского гребешка;Готовая еда;184.5;;;;;298.0;vkusvill;;Состав                                                                                                                                                       Макаронные изделия отварные (вода питьевая, макаронные изделия (мука из твердой пшеницы высшего сорта, вода питьевая)), соус сливочный с чесноком и зеленью (сливки  питьевые м;https://vkusvill.ru/goods/pasta-s-file-morskogo-grebeshka-100715.html;
omlet-belkovyy-s-kurinym-file-ovoshchami-i-myagkim-syrom-52515.html;Омлет белковый с куриным филе, овощами и мягким сыром;Готовая еда;90.0;;;;;285.0;vkusvill;;Состав                                                                                                                                                       белок яичный жидкий пастеризованный, филе куриной грудки отварное (филе куриной грудки, соль пищевая), капуста брокколи быстрозамороженная, томаты свежие, сыр мягкий  м;https://vkusvill.ru/goods/omlet-belkovyy-s-kurinym-file-ovoshchami-i-myagkim-syrom-52515.html;
kombo-losos-steyk-s-kozhey-v-marinade-na-grile-i-salat-vitaminnyy-s-limonnoy-zapravkoy-98435.html;Комбо: Лосось стейк с кожей в маринаде на гриле и салат Витаминный с лимонной заправкой;Готовая еда;239.5;;;;;995.0;vkusvill;;Состав                                                                                                                                                       Лосось атлантический (сёмга) стейк с кожей (продукция аквакультуры) охлажденный, лимон свежий, масло рафинированное дезодорированное, специи (кориандр молотый, паприка красная молотая, морковь сушеная, зелень укропа сушеная, куркума молотая, лук репчатый сушеный, перец красный острый молотый, зелень петрушки сушеная, паприка зеленая молотая, тмин, тимьян, перец душистый молотый, лавровый лист молотый), соль пищевая;https://vkusvill.ru/goods/kombo-losos-steyk-s-kozhey-v-marinade-na-grile-i-salat-vitaminnyy-s-limonnoy-zapravkoy-98435.html;
syrniki-zapekanki-i-rikotniki;Сырники, запеканки и рикотники;Готовая еда;;4.7;;;;200.0;vkusvill;;е только творог, мука, яйцо и немного сахара — ничего лишнего;https://vkusvill.ru/goods/gotovaya-eda/zavtraki/syrniki-zapekanki-i-rikotniki/?PAGEN_1=2;
yaytsa-perepelinye-kopchenye-molodetskie-36059.html;"Яйца перепелиные копченые ""Молодецкие""";Готовая еда;165.8;;;;;305.0;vkusvill;;проверен: нет консервантов и усилителей вкуса                                                                                                                                                                                                                                                                                                                                                                              О товаре                                                                                                                                                                                                                                                                                                                                                            Отзывы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4;https://vkusvill.ru/goods/yaytsa-perepelinye-kopchenye-molodetskie-36059.html;
lepeshka-s-zelenyu-22487.html;Лепешка с зеленью;Готовая еда;141.0;4.9;3.2;23.3;;265.0;vkusvill;;Состав                                                                                                                                                       Гулян Ашот Петрович ИП: мука пшеничная хлебопекарная высшего сорта, вода питьевая, зелень кинзы свежая, кервель свежий, шпинат свежий, щавель свежий, укроп свежий, лук зелёный свежий, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, перец красный молотый слабожгучий;https://vkusvill.ru/goods/lepeshka-s-zelenyu-22487.html;
kukhni-mira;Кухни мира;Готовая еда;;;;;;200.0;vkusvill;;е только свежие и качественные ингредиенты, без консервантов и усилителей вкуса;https://vkusvill.ru/goods/gotovaya-eda/kukhni-mira/?page=2&PAGEN_1=3;
mini-syrniki-figurnye-70524.html;Мини сырники фигурные;Готовая еда;246.5;4.9;;;;225.0;vkusvill;;Состав                                                                                                                                                       Творог м;https://vkusvill.ru/goods/mini-syrniki-figurnye-70524.html;
