id,name,price,category,url,shop,photo,composition,tags,portion_g,kcal_100g,protein_100g,fat_100g,carb_100g
sup-ramen-s-indeykoy-70454,"Суп ""Рамен"" с индейкой",318,Готовая еда,https://vkusvill.ru/goods/sup-ramen-s-indeykoy-70454.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       бульон процеженный (вода питьевая, суповой набор из индейки, лук репчатый свежий, желатин пищевой, соевый соус (вода питьевая, сахар, соевые бобы, пшеница, соль морская пищевая), морковь столовая свежая, паста соевая (бобы соевые, кр",,400.0г,122,5.1,5.6,12.8
kombo-sup-gorokhovyy-s-kopchenostyami-i-bliny-s-pechenyu-71207,Комбо: Суп гороховый с копченостями и блины с печенью,431,Готовая еда,https://vkusvill.ru/goods/kombo-sup-gorokhovyy-s-kopchenostyami-i-bliny-s-pechenyu-71207.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Суп гороховый с копченостями (вода питьевая , картофель свежий, бульон говяжий (вода питьевая , говядина (произведено из мороженого сырья), лук репчатый свежий, морковь столовая свежая, петрушка свежая (зелень), укроп свежий (зелень)",,480.0г,89.7,3.4,3.2,4.4
kombo-kapuchino-0-4-i-chiabatta-s-kuritsey-parmezanom-i-sousom-tsezar-kafe-69493,"Комбо капучино 0.4 и чиабатта с курицей, пармезаном и соусом цезарь, кафе",390,Готовая еда,https://vkusvill.ru/goods/kombo-kapuchino-0-4-i-chiabatta-s-kuritsey-parmezanom-i-sousom-tsezar-kafe-69493.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ККапучино: Молоко ультрапастеризованное 3,2%(молоко цельное, молоко обезжиренное), вода питьевая, кофе жареный арабика. Чиабатта с курицей, пармезаном и соусом цезарь:  Чиабатта (мука пшеничная хлебопекарная высшего сорта, вода питье",,15.0г,280.5,8.8,15.7,26.0
salat-s-kuritsey-i-ananasami-180-g-68083,"Салат с курицей и ананасами, 180 г",258,Готовая еда,https://vkusvill.ru/goods/salat-s-kuritsey-i-ananasami-180-g-68083.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ГЛОБАЛ ФУД ООО: филе куриной грудки су-вид (филе куриной грудки), ананасы консервированные (ананасы свежие, вода питьевая, сахар, регулятор кислотности - лимонная кислота), майонез м.д.ж 50% (масло подсолнечное рафинированное дезодор",,180.0г,230.1,9.8,19.7,3.4
lazanya-s-kuritsey-111618,Лазанья с курицей,378,Готовая еда,https://vkusvill.ru/goods/lazanya-s-kuritsey-111618.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       макаронные изделия отварные (вода питьевая, макаронные изделия (мука пшеничная хлебопекарня высшего сорта, белок яичный жидкий пастеризованный, желток яичный пастеризованный, мука пшеничная из твердых сортов), соль пищевая, мало подс",,260.0г,189.6,11,7.6,19.3
zapekanka-tvorozhnaya-s-grushey-39477,Запеканка творожная с грушей,255,Готовая еда,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-grushey-39477.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       ПРО ВКУС ООО: творог м.д.ж. 5% (молоко нормализованное, закваска молочнокислых культур), груша отварная (груша свежая, вода питьевая, сахар), сахар, молоко питьевое нормализованное ультрапастеризованное м.д.ж. 3,2%, яйцо куриное пище",,250.0г,140.9,10.2,2.5,19.4
derevenskiy-zavtrak-65057,Деревенский завтрак,465,Готовая еда,https://vkusvill.ru/goods/derevenskiy-zavtrak-65057.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Картофель-мини с розмарином (картофель мини свежий, масло подсолнечное рафинированное дезодорированное, масло оливковое нерафинированное первого отжима, соль пищевая, розмарин свежий), яйцо куриное, колбаски с сыром и кинзой полукопч",,392.0г,159,6.51,11.47,7.95
okroshka-s-govyadinoy-400-g-53170,"Окрошка с говядиной, 400 г",598,Готовая еда,https://vkusvill.ru/goods/okroshka-s-govyadinoy-400-g-53170.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Большая порция сытной окрошки с отварной говядиной, без заправки. Приготовлена по-домашнему: в составе, помимо мяса, варёные яйца и картофель, свежие огурцы, редис и зелень.",,400.0г,96.2,7,5,5.8
sup-kurinyy-320-g-46332,"Суп Куриный, 320 г",220,Готовая еда,https://vkusvill.ru/goods/sup-kurinyy-320-g-46332.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Питьевая вода, куриное мясо, яичная лапша (пшеничная мука высшего сорта, питьевая вода, яичный порошок, соль), свежая столовая морковь, соль, чёрный перец.                                                                              ",,320.0г,48.6,3.9,2.2,3.3
kasha-iz-polby-na-kokosovom-moloke-94983,Каша из полбы на кокосовом молоке,193,Готовая еда,https://vkusvill.ru/goods/kasha-iz-polby-na-kokosovom-moloke-94983.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Вода питьевая, крупа полба цельнозерновая из твердых сортов пшеницы, напиток кокосовый (мякоть кокосового ореха 64%, вода 35.9%, стабилизаторы (ксантановая камедь, гуаровая камедь) 0,1%), абрикос сушеный (курага), чернослив сушеный, ",,250.0г,137,3,5,20
sendvich-sando-s-raduzhnoy-forelyu-i-sousom-teriyaki-113795,"Сэндвич ""Сандо"" с радужной форелью и соусом терияки",318,Готовая еда,https://vkusvill.ru/goods/sendvich-sando-s-raduzhnoy-forelyu-i-sousom-teriyaki-113795.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Бриошь (мука пшеничная хлебопекарная высший сорт, смесь хлебопекарная (мука пшеничная высшего сорта, закваска пшеничная (ферментированная пшеничная мука), мука соевая,  дрожжи дезактивированные), меланж яичный жидкий пастеризованный,",,230.0г,266.8,11.1,11.2,30.4
golubtsy-lenivye-iz-myasa-ptitsy-600-g-65276,"Голубцы ленивые из мяса птицы, 600 г",518,Готовая еда,https://vkusvill.ru/goods/golubtsy-lenivye-iz-myasa-ptitsy-600-g-65276.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Большой формат упаковки для всей семьи. Состав проверен: нет усилителей вкуса, консервантов и антибиотиков",,600.0г,79.7,4.9,3.2,11.2
salat-s-kuritsey-i-apelsinovoy-zapravkoy-68047,Салат с курицей и апельсиновой заправкой,328,Готовая еда,https://vkusvill.ru/goods/salat-s-kuritsey-i-apelsinovoy-zapravkoy-68047.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       соус апельсиновый (апельсины свежие, масло подсолнечное рафинированное дезодорированное, горчица (вода питьевая, семена горчицы, уксус столовый 9%, сахар, соль пищевая), мед цветочный натуральный, соль пищевая, перец чёрный молотый),",,198.0г,156.3,6.9,11.5,6.3
sendvich-roll-s-zapechennym-tuntsom-101864,Сэндвич ролл с запеченным тунцом,278,Готовая еда,https://vkusvill.ru/goods/sendvich-roll-s-zapechennym-tuntsom-101864.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Нежный запечённый тунец в своей лучшей компании: с отварным яйцом, свежим огурчиком и ароматным красным луком. Приправили начинку нежно-пряным соусом кимчи с майонезом и завернули в тонкий пшеничный лаваш. Питательный и удобный перекус с чистым составом: без консервантов и искусственных вкусоароматических усилителей.",,160.0г,191.1,11,6.3,22.6
zapekanka-tvorozh-s-chernoy-smorod-100-g-33660,"Запеканка творож. с черной смород., 100 г",132,Готовая еда,https://vkusvill.ru/goods/zapekanka-tvorozh-s-chernoy-smorod-100-g-33660.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Творог м.д.ж. 5% (молоко пастеризованное, закваска), сметана м.д.ж. 15% (сливки нормализованные пастеризованные, закваска), меланж яичный пастеризованный, черная смородина быстрозамороженная, сахар, крупа манная, ванильный сахар с на",,100.0г,183.6,12.5,5.6,20.8
bolshoy-sytnyy-zavtrak-491-g-109986,"Большой сытный завтрак, 491 г",775,Готовая еда,https://vkusvill.ru/goods/bolshoy-sytnyy-zavtrak-491-g-109986.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Сосиски с сыром (мясо кур (филе грудки, бедра), кожа куриная, вода питьевая, сыр массовая доля жира 45% (молоко пастеризованное, соль пищевая, бактериальная закваска мезофильных молочнокислых микроорганизмов, молокосвертывающий ферме",,491.0г,196.04,11.91,13.32,7.13
kombo-nabor-bitochki-sochnye-s-penne-i-salat-krabovyy-102212,"Комбо-набор: Биточки сочные с пенне и Салат ""Крабовый""",360,Готовая еда,https://vkusvill.ru/goods/kombo-nabor-bitochki-sochnye-s-penne-i-salat-krabovyy-102212.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       макаронные изделия отварные (вода питьевая, макаронные изделия  из твердых сортов пшеницы (мука из твердой пшеницы высшего сорта, вода питьевая), масло подсолнечное рафинированное дезодорированное, соль пищевая), биточки жареные (сви",,360.0г,194.3,10.2,6.7,23.3
zapekanka-tvorozhnaya-s-klubnikoy-bez-dobavlennogo-sakhara-38253,Запеканка творожная с клубникой без добавленного сахара,246,Готовая еда,https://vkusvill.ru/goods/zapekanka-tvorozhnaya-s-klubnikoy-bez-dobavlennogo-sakhara-38253.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,Сахар в творожной запеканке заменили природной сладостью ягод клубники. Проверили состав: нет искусственных ароматизаторов и консервантов,,220.0г,190.6,12.4,5,24
golubtsy-lenivye-v-smetannom-souse-29522,Голубцы ленивые в сметанном соусе,238,Готовая еда,https://vkusvill.ru/goods/golubtsy-lenivye-v-smetannom-souse-29522.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Голубцы ленивые (мясо бедра куриного без кости, капуста белокачанная свежая, лук репчатый свежий, крупа рисовая шлифованная, вода питьевая, яйцо куриное пищевое, мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафиниро",,250.0г,110.1,6.5,5.7,8.2
salat-gnezdo-glukharya-s-kopchenoy-kuritsey-260-g-102450,"Салат ""Гнездо глухаря"" с копченой курицей, 260 г.",308,Готовая еда,https://vkusvill.ru/goods/salat-gnezdo-glukharya-s-kopchenoy-kuritsey-260-g-102450.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       Филе куриной грудки копчёное (филе куриной грудки,соль пищевая), майонез м.д.ж. 67 % (масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, желток яичный жидкий пастеризованный, соль пищевая, уксус спиртовой 20%, ",,260.0г,252.6,9.25,13.6,23.3
sendvich-nezhnyy-s-kuritsey-omletom-i-motsarelloy-31712,"Сэндвич ""Нежный"" с курицей, омлетом и моцареллой",258,Готовая еда,https://vkusvill.ru/goods/sendvich-nezhnyy-s-kuritsey-omletom-i-motsarelloy-31712.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       хлебобулочное изделие чиабатта (мука пшеничная высшего сорта,вода питьевая,масло подсолнечное рафинированное дезодорированное, сахар, крупа манная, дрожжи прессованные (дрожжи (Saccharomyces cerevisiae)), соль пищевая), курица запечё",,215.0г,317.0,12.8,67,26.4
kombo-nabor-salat-vitaminnyy-shchi-zelenye-so-shpinatom-zharkoe-iz-svininy-po-domashnemu-113792,"Комбо-набор: Салат витаминный, Щи зеленые со шпинатом, Жаркое из свинины по-домашнему",598,Готовая еда,https://vkusvill.ru/goods/kombo-nabor-salat-vitaminnyy-shchi-zelenye-so-shpinatom-zharkoe-iz-svininy-po-domashnemu-113792.html,vkusvill_heavy,https://vkusvill.ru/local/templates/main-responsive/img/subscribe/summer24/desktop/img-1.png?v=1,"Состав                                                                                                                                                                                                                                                                                                                                                                                                                    Состав                                                                                                                                                       капуста белокочанная свежая, морковь столовая свежая, огурцы свежие, перец сладкий свежий, масло подсолнечное рафинированное дезодорированное, сахар, мед натуральный цветочный, уксус яблочный 6%, соль пищевая, сок лимона прямого отжи",,750.0г,29.8,1.6,1,3.6
